Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area
R0055558,SFR,5612,N,71ST,ST,,UNINCORPORATED,Ranch,Avg ++,1990,1311.0,0,0.0,0.0,Attached,420,29780.0,3624229,2017-11-03,517000,581143.136624768,401
R0055558,SFR,5612,N,71ST,ST,,UNINCORPORATED,Ranch,Avg ++,2001,1311.0,0,0.0,0.0,Attached,420,29780.0,3654908,2018-05-10,597000,652607.758723367,401
R0038733,SFR,4475,,ABERDEEN,CT,,UNINCORPORATED,Ranch,Avg,1980,1380.0,1050,1050.0,0.0,Attached,475,14234.0,3720226,2019-06-21,531000,553206.861187859,401
R0039073,SFR,4507,,ABERDEEN,PL,,UNINCORPORATED,Split level,Avg ++,2000,1270.0,500,500.0,0.0,Attached,475,8315.0,3747660,2019-11-06,484000,495706.522160445,401
R0038934,SFR,4530,,ABERDEEN,PL,,UNINCORPORATED,Split level,Avg,1995,850.0,500,500.0,0.0,Attached,475,10350.0,3663881,2018-06-29,530000,576679.694605358,401
R0038826,SFR,7602,,ABERDEEN,WAY,,UNINCORPORATED,Split level,Avg +,1992,850.0,500,500.0,0.0,Attached,475,8539.0,3674206,2018-08-30,520000,560562.331771062,401
R0039156,SFR,7618,,ABERDEEN,WAY,,UNINCORPORATED,Ranch,Avg,1971,850.0,850,850.0,0.0,Attached,475,9204.0,3554555,2016-10-31,405000,483610.856202759,401
R0038665,SFR,4455,,ALBERTA,CT,,UNINCORPORATED,Bi Level,Avg,1980,850.0,850,850.0,0.0,Attached,475,9474.0,3671183,2018-08-10,454500,489953.038057591,401
R0111812,SFR,4486,,APPLEWOOD,CT,,BOULDER,Multi Sty,Good ++,1993,2199.0,886,646.0,240.0,Attached,400,9747.0,3741924,2019-10-10,775000,796459.555395313,401
R0111811,SFR,4494,,APPLEWOOD,CT,,BOULDER,Multi Sty,Good,2001,2090.0,630,0.0,630.0,Attached,400,12829.0,3510038,2016-04-01,703500,868008.960091016,401
R0038445,SFR,4761,,ASHFIELD,CIR,,UNINCORPORATED,Bi Level,Avg,1980,968.0,910,910.0,0.0,Attached,520,19808.0,3789070,2020-06-04,570000,570000.0,401
R0038595,SFR,4782,,ASHFIELD,CIR,,UNINCORPORATED,Multi Sty,Avg ++,2003,2041.0,1017,915.0,102.0,Attached,548,10843.0,3652878,2018-04-27,744900,818078.515433469,401
R0039088,SFR,4719,,ASHFIELD,CT,,UNINCORPORATED,Ranch,Avg +,1975,1480.0,1460,828.0,632.0,Attached,572,15335.0,3779291,2020-04-16,550000,553768.43302,401
R0038212,SFR,4508,,ASHFIELD,DR,,UNINCORPORATED,Split level,Avg,1983,1598.0,310,310.0,0.0,Attached,520,7616.0,3774586,2020-03-26,518200,523534.935952315,401
R0038339,SFR,4520,,ASHFIELD,DR,,UNINCORPORATED,Ranch,Avg,1995,1050.0,1050,945.0,105.0,Attached,475,7683.0,3660435,2018-06-12,506500,551109.934561535,401
R0038063,SFR,4544,,ASHFIELD,DR,,UNINCORPORATED,Split level,Avg ++,2000,850.0,500,500.0,0.0,Attached,475,7906.0,3710967,2019-04-30,540000,566437.898285202,401
R0039009,SFR,4558,,ASHFIELD,DR,,UNINCORPORATED,Ranch,Avg,1980,1050.0,1050,950.0,100.0,Attached,475,9849.0,3571668,2017-01-20,422000,496931.051302669,401
R0038281,SFR,4583,,ASHFIELD,DR,,UNINCORPORATED,Bi Level,Avg,1990,850.0,850,850.0,0.0,Attached,475,16006.0,3716696,2019-06-04,589400,614049.197710215,401
R0038898,SFR,4595,,ASHFIELD,DR,,UNINCORPORATED,Bi Level,Avg +,1990,1229.0,925,925.0,0.0,Attached,436,18304.0,3547286,2016-09-30,475000,569841.06006547,401
