Eff Yr Built,Above Grd SF,Basemt Fin SF,Basemt Unf SF,Garage SF,Est Land SF,Unincorporated,Quality_cat,Garage Attached,Design_1 Sty Townh,Design_Bi Level,Design_Condo,Design_Modular,Design_Multi Sty,Design_Multi Sty Townh,Design_Paired,Design_Patio,Design_Ranch,Design_Split level,Market Area_101,Market Area_102,Market Area_103,Market Area_104,Market Area_105,Market Area_106,Market Area_107,Market Area_108,Market Area_109,Market Area_401,Market Area_402,Market Area_403,Market Area_404,Market Area_405,Market Area_407,Market Area_501,Market Area_502,Market Area_503,Market Area_505,Market Area_506,Market Area_507,Market Area_630,Market Area_632,Market Area_633,Market Area_634,Time Adjust Sales Price,Property Type_DUP_TRI,Property Type_RCON,Property Type_SFR,Property Type_TWNHM
1990,1311.0,0.0,0.0,420,29780.0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581143.136624768,0,0,1,0
2001,1311.0,0.0,0.0,420,29780.0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652607.758723367,0,0,1,0
1980,1380.0,1050.0,0.0,475,14234.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553206.861187859,0,0,1,0
2000,1270.0,500.0,0.0,475,8315.0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495706.522160445,0,0,1,0
1995,850.0,500.0,0.0,475,10350.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576679.694605358,0,0,1,0
1992,850.0,500.0,0.0,475,8539.0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560562.331771062,0,0,1,0
1971,850.0,850.0,0.0,475,9204.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483610.856202759,0,0,1,0
1980,850.0,850.0,0.0,475,9474.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489953.038057591,0,0,1,0
1993,2199.0,646.0,240.0,400,9747.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796459.555395313,0,0,1,0
2001,2090.0,0.0,630.0,400,12829.0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868008.960091016,0,0,1,0
1980,968.0,910.0,0.0,520,19808.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570000.0,0,0,1,0
2003,2041.0,915.0,102.0,548,10843.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818078.515433469,0,0,1,0
1975,1480.0,828.0,632.0,572,15335.0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553768.43302,0,0,1,0
1983,1598.0,310.0,0.0,520,7616.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523534.935952315,0,0,1,0
1995,1050.0,945.0,105.0,475,7683.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551109.934561535,0,0,1,0
2000,850.0,500.0,0.0,475,7906.0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566437.898285202,0,0,1,0
1980,1050.0,950.0,100.0,475,9849.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496931.051302669,0,0,1,0
1990,850.0,850.0,0.0,475,16006.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614049.197710215,0,0,1,0
1990,1229.0,925.0,0.0,436,18304.0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569841.06006547,0,0,1,0
1975,2023.0,0.0,1067.0,460,16293.0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551175.973967874,0,0,1,0
1995,1523.0,400.0,175.0,460,9129.0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619410.546602191,0,0,1,0
1995,1523.0,400.0,175.0,460,9129.0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601053.547624853,0,0,1,0
1980,2041.0,952.0,0.0,550,16377.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603500.0,0,0,1,0
1995,936.0,810.0,100.0,520,12192.0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593000.818037585,0,0,1,0
1992,2531.0,1412.0,100.0,730,14484.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923997.173680485,0,0,1,0
2003,3189.0,1869.0,0.0,900,17983.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163154.6317105,0,0,1,0
1993,3397.0,920.0,904.0,714,19926.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049231.60039258,0,0,1,0
1992,3025.0,852.0,466.0,720,16627.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974736.429952954,0,0,1,0
1992,3025.0,852.0,466.0,720,16627.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890931.540944411,0,0,1,0
1993,3178.0,762.0,284.0,991,13881.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963684.268547588,0,0,1,0
2003,3182.0,757.0,143.0,802,15769.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028956.59362171,0,0,1,0
1997,2735.0,896.0,523.0,632,10978.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841412.780991153,0,0,1,0
2003,3154.0,1300.0,221.0,723,10926.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046958.62571573,0,0,1,0
1985,2175.0,725.0,725.0,462,12721.0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667272.589809174,0,0,1,0
1984,2209.0,756.0,0.0,462,9281.0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688873.613772657,0,0,1,0
2005,1632.0,0.0,754.0,540,6964.0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685000.0,0,0,1,0
1995,2736.0,1218.0,0.0,806,10189.0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683215.827809221,0,0,1,0
2005,2781.0,1510.0,168.0,374,9523.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741311.582652156,0,0,1,0
1995,2259.0,1010.0,298.0,810,9703.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791767.753015848,0,0,1,0
2001,2213.0,1142.0,0.0,528,9883.0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748857.375082126,0,0,1,0
1984,2116.0,1470.0,618.0,594,8071.0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845182.853819966,0,0,1,0
1997,1943.0,625.0,401.0,484,5659.0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770947.414838071,0,0,1,0
1980,2048.0,0.0,1024.0,722,3909.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000.0,1,0,0,0
1980,2048.0,0.0,1024.0,902,5830.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000.0,1,0,0,0
1998,1704.0,892.0,0.0,483,6789.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685690.55726002,0,0,1,0
1985,1702.0,492.0,0.0,440,5648.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577982.339991022,0,0,1,0
2002,1702.0,492.0,0.0,440,5648.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706667.998815597,0,0,1,0
2006,1448.0,0.0,694.0,440,6364.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658471.314647965,0,0,1,0
1985,1192.0,0.0,0.0,304,5624.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355731.427557163,0,0,1,0
1990,2156.0,0.0,0.0,528,8482.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638536.017799414,0,0,1,0
1973,1192.0,0.0,0.0,304,4571.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437637.972341509,0,0,1,0
1995,1469.0,725.0,0.0,500,8537.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638536.017799414,0,0,1,0
1972,1504.0,376.0,1128.0,480,11259.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540723.973093881,0,0,1,0
1973,1407.0,0.0,0.0,476,7383.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480705.921617335,0,0,1,0
2001,1707.0,558.0,400.0,420,4760.0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632873.466141882,0,0,1,0
